Name Of Zone / Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Average
Ahmedabad,680,-,680,660,660,640,640,640,640,640,640,640,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,650.91
Ajmer,640,640,640,615,-,605,595,595,595,595,595,595,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,610.0
Allahabad (CC),695,686,676,667,657,648,638,629,619,610,610,600,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,644.58
Barwala,630,630,630,630,630,585,585,585,585,560,560,560,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,597.5
Bengaluru (CC),705,705,685,685,665,665,-,625,605,605,605,605,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,650.45
Bhopal,640,620,620,620,620,620,600,600,600,600,580,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,610.91
Brahmapur (OD),640,640,630,630,620,610,610,590,590,590,570,570,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,607.5
Chennai (CC),710,710,700,690,690,670,650,630,610,610,610,610,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,657.5
Chittoor,703,703,693,683,683,663,643,623,603,603,603,603,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,650.5
Delhi (CC),680,680,660,650,650,650,625,625,625,625,625,600,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,641.25
E.Godavari,620,625,625,-,625,585,585,585,585,585,585,550,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,595.91
Hospet,645,645,625,625,605,605,-,565,545,545,545,545,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,590.45
Hyderabad,630,630,630,610,600,580,580,580,560,560,560,540,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,588.33
Indore (CC),650,-,-,-,-,-,600,-,590,585,585,575,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,597.5
Jabalpur,645,645,645,625,625,625,600,600,600,600,580,580,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,614.17
Kanpur (CC),681,681,667,667,667,643,629,614,614,614,614,600,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,640.92
Kolkata (WB),685,675,675,675,650,650,650,635,635,635,615,615,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,649.58
Ludhiana,630,630,630,630,602,602,585,585,585,585,565,565,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,599.5
Luknow (CC),700,700,686,686,686,667,652,638,638,638,638,619,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,662.33
Mumbai (CC),700,690,685,685,670,660,645,635,-,625,625,615,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,657.73
Muzaffurpur (CC),700,700,690,690,690,645,645,645,645,625,625,625,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,660.42
Mysuru,706,706,706,706,675,670,645,625,603,603,603,603,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,654.25
Nagpur,650,650,650,645,645,615,600,600,590,590,580,580,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,616.25
Namakkal,640,640,640,640,620,620,600,580,560,560,560,560,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,601.67
Patna,700,700,690,690,690,645,645,645,645,625,625,625,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,660.42
Pune,695,695,690,685,675,665,645,645,635,635,635,625,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,660.42
Raipur,620,620,620,620,620,610,595,600,600,570,570,560,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,600.42
Ranchi  (CC),695,695,667,667,667,657,667,647,647,-,619,619,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,658.82
Surat,690,-,680,680,660,640,640,640,640,640,640,640,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,653.64
Varanasi (CC),707,683,677,667,667,650,650,650,633,633,623,617,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,654.75
Vijayawada,660,660,640,620,620,620,610,610,600,600,600,575,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,617.92
Vizag,660,635,610,610,610,585,585,585,585,585,585,550,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,598.75
W.Godavari,620,-,625,625,625,-,585,585,585,585,585,550,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,597.0
Warangal,632,632,632,612,602,582,582,582,562,562,562,542,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,590.33
