Name Of Zone / Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Average
Ahmedabad,570,575,575,575,575,560,560,560,565,570,-,-,-,570,570,575,580,580,580,580,580,560,-,560,560,560,560,560,-,-,569.17
Ajmer,555,555,545,532,525,520,523,527,532,532,527,522,527,529,531,533,533,528,528,528,518,525,530,530,530,530,530,530,530,512,529.9
Allahabad (CC),590,590,590,586,576,562,562,562,576,576,571,567,567,567,571,576,576,571,571,571,567,562,562,562,562,562,562,562,562,557,569.93
Barwala,557,557,557,542,-,530,532,534,537,537,537,537,537,537,537,537,537,537,537,518,-,512,516,516,516,518,521,521,521,521,532.0
Bengaluru (CC),555,560,560,560,560,560,560,560,560,560,560,565,565,565,575,580,580,580,580,580,580,580,580,580,580,580,560,560,560,560,568.17
Bhopal,540,540,545,545,535,535,535,524,530,540,540,540,540,540,-,550,-,550,550,550,550,530,530,530,530,530,-,-,520,525,537.46
Brahmapur (OD),580,585,-,585,565,555,555,555,560,560,560,560,560,560,570,580,580,580,580,580,-,580,580,580,570,570,570,-,570,545,569.44
Chennai (CC),585,585,585,585,585,570,-,570,570,570,570,570,570,570,580,585,585,-,585,585,585,585,585,585,585,585,565,565,550,550,576.61
Chittoor,578,578,578,578,578,563,563,563,563,-,-,563,563,563,573,578,578,578,578,578,578,578,578,578,-,-,558,558,543,543,569.54
Delhi (CC),580,580,580,-,580,565,565,565,565,565,557,557,557,557,557,557,557,557,557,557,557,534,534,534,534,534,536,541,541,541,555.21
E.Godavari,560,565,570,-,545,545,545,545,545,545,545,545,-,535,540,550,550,550,550,550,550,550,-,550,540,540,540,540,540,530,546.67
Hospet,495,500,500,500,500,500,500,500,500,500,500,505,505,505,515,520,520,520,520,520,520,520,520,520,520,520,500,500,500,500,508.17
Hyderabad,525,530,535,535,535,535,535,535,535,535,535,535,535,535,535,540,540,540,540,540,540,540,540,540,540,540,500,500,500,500,531.67
Indore (CC),-,-,550,540,530,530,535,540,545,545,545,540,-,550,560,560,560,560,560,550,540,540,540,540,540,540,540,-,540,540,544.62
Jabalpur,545,545,545,545,535,525,525,525,535,540,540,530,530,540,550,550,550,550,-,540,540,530,530,530,530,530,-,520,520,525,535.71
Kanpur (CC),576,576,576,567,557,548,548,548,567,567,567,557,557,557,557,557,557,548,548,548,548,548,548,548,548,548,548,548,548,548,555.43
Kolkata (WB),630,630,620,610,600,590,580,600,600,600,580,585,590,595,600,600,625,625,625,600,600,600,600,600,600,-,600,600,600,600,602.93
Ludhiana,555,557,557,557,545,545,535,535,535,538,538,538,538,538,538,538,538,538,525,525,514,514,514,514,514,516,521,523,523,523,532.97
Luknow (CC),600,600,600,600,600,590,583,583,590,590,590,583,583,583,585,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,586.83
Mumbai (CC),580,585,590,590,590,580,580,580,590,590,590,580,580,580,585,595,600,600,600,600,600,590,580,570,570,570,570,570,570,570,584.17
Muzaffurpur (CC),617,617,617,605,595,595,595,595,600,600,600,600,600,600,600,600,600,600,600,580,570,570,575,575,575,580,580,580,580,580,592.7
Mysuru,563,565,565,565,565,565,565,565,565,565,565,565,565,565,575,585,585,585,585,585,585,585,-,585,585,585,570,570,570,570,572.86
Nagpur,-,-,555,555,555,-,555,540,540,555,555,550,550,-,-,560,-,570,-,560,550,550,550,550,550,540,-,-,540,540,550.95
Namakkal,515,515,515,515,515,515,515,515,515,515,515,515,515,515,520,525,525,525,525,525,525,525,525,525,525,525,505,505,505,505,517.5
Patna,617,617,617,605,595,595,595,595,600,600,600,600,600,600,600,600,600,600,600,580,570,570,575,575,575,580,580,580,580,580,592.7
Pune,570,575,580,580,580,570,570,570,580,580,580,570,570,570,580,590,590,590,590,590,590,580,580,570,570,560,560,560,560,560,575.5
Raipur,560,560,560,560,550,-,525,525,540,540,527,540,-,-,550,555,555,555,-,555,555,535,535,535,535,535,535,-,535,535,543.68
Ranchi  (CC),605,605,605,605,595,595,595,595,595,595,595,595,595,595,595,595,605,605,605,600,600,595,595,595,590,590,590,590,590,585,596.5
Surat,575,575,575,575,575,575,575,575,575,575,-,-,-,575,575,580,585,585,585,585,585,585,-,575,565,565,565,565,-,-,576.04
Varanasi (CC),593,600,600,600,590,577,577,577,583,583,583,583,583,583,583,583,583,583,583,573,567,567,567,567,567,567,573,573,573,567,579.6
Vijayawada,560,570,570,-,545,545,545,545,545,550,550,550,-,550,550,560,560,560,560,560,560,560,-,560,550,550,550,550,550,530,553.15
Vizag,565,570,575,575,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,-,540,540,540,530,530,530,530,530,520,550.17
W.Godavari,560,565,570,-,545,545,545,545,545,545,545,545,-,535,540,550,550,550,550,550,550,550,-,550,540,540,540,540,540,530,546.67
Warangal,527,532,537,537,537,537,537,537,-,537,537,537,537,537,537,542,-,542,542,542,542,542,-,542,542,542,502,502,502,502,532.93
