Name Of Zone / Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Average
Ahmedabad,675,675,675,675,680,685,690,695,700,715,730,740,750,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,698.85
Ajmer,635,635,635,645,650,655,655,660,665,701,706,710,710,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,666.31
Allahabad (CC),671,671,671,686,695,700,700,714,724,752,762,762,771,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,713.77
Barwala,614,614,617,625,632,632,635,640,652,680,696,699,699,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,648.85
Bengaluru (CC),710,710,-,710,710,710,710,710,710,710,715,720,725,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,712.5
Bhopal,660,660,660,670,670,-,680,680,690,710,725,-,730,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,685.0
Brahmapur (OD),655,655,655,665,670,670,670,670,680,690,700,700,705,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,675.77
Chennai (CC),720,720,720,720,720,720,720,720,720,720,720,730,735,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,721.92
Chittoor,713,713,713,713,-,713,713,713,713,713,713,723,728,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,715.08
Delhi (CC),640,640,640,650,665,665,665,670,700,710,720,725,725,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,678.08
E.Godavari,625,625,625,630,635,635,635,635,645,655,665,670,675,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,642.69
Hospet,650,650,-,650,650,650,650,650,650,650,655,660,665,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,652.5
Hyderabad,650,650,650,650,650,650,650,-,650,650,665,680,700,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,657.92
Indore (CC),660,660,660,665,670,670,670,670,675,700,710,730,740,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,683.08
Jabalpur,660,660,660,660,670,680,680,680,680,710,725,735,735,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,687.31
Kanpur (CC),648,648,648,657,671,671,671,671,690,710,719,719,729,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,680.92
Kolkata (WB),695,695,695,705,710,710,710,710,720,730,740,745,750,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,716.54
Ludhiana,616,616,616,619,629,631,631,636,643,677,701,701,701,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,647.46
Luknow (CC),657,657,657,667,683,683,683,683,706,717,757,767,767,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,698.77
Mumbai (CC),720,710,705,705,705,710,710,710,715,720,730,740,750,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,717.69
Muzaffurpur (CC),675,675,678,685,690,690,695,700,710,750,760,-,760,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,705.67
Mysuru,725,725,725,725,725,725,725,725,725,725,730,735,740,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,727.31
Nagpur,700,690,670,670,690,690,690,700,700,710,730,745,745,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,702.31
Namakkal,650,650,650,650,-,650,650,650,650,650,655,-,665,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,651.82
Patna,675,675,678,685,690,690,695,700,710,750,760,-,760,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,705.67
Pune,725,720,715,715,715,720,720,720,725,730,740,750,760,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,727.31
Raipur,640,640,640,645,650,650,655,655,660,675,675,700,700,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,660.38
Ranchi  (CC),676,676,676,676,690,690,690,690,695,700,728,740,745,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,697.85
Surat,700,700,700,700,700,700,700,700,705,715,730,740,750,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,710.77
Varanasi (CC),667,667,667,683,693,700,700,700,717,750,750,750,750,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,707.23
Vijayawada,660,650,650,650,660,665,665,665,680,700,710,715,725,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,676.54
Vizag,640,640,640,640,640,640,640,640,650,660,670,-,680,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,648.33
W.Godavari,625,625,625,630,635,635,635,635,645,655,665,670,675,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,642.69
Warangal,652,652,652,652,652,652,652,652,652,652,667,682,702,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,659.31
